State,Date,Confirmed,Deaths,Case_Fatality_Ratio
Alaska,2022-04-02 04:31:55,247739.0,1228.0,0.4956829566600334
Arizona,2022-04-02 04:31:55,2007180.0,29268.0,1.4581651869787462
Arkansas,2022-04-02 04:31:55,833029.0,11237.0,1.348932630196548
California,2022-04-02 04:31:55,9109754.0,89012.0,0.9771065168170292
Colorado,2022-04-02 04:31:55,1348081.0,11977.0,0.8884480977033279
Connecticut,2022-04-02 04:31:55,737276.0,10779.0,1.4620033745842804
Delaware,2022-04-02 04:31:55,259746.0,2846.0,1.0956857853441442
Florida,2022-04-02 04:31:55,5885004.0,73282.0,1.24523279848238
Georgia,2022-04-02 04:31:55,2500259.0,37057.0,1.482126451699604
Hawaii,2022-04-02 04:31:55,240778.0,1379.0,0.5727267441377535
Idaho,2022-04-02 04:31:55,444210.0,4876.0,1.0976790256860494
Illinois,2022-04-02 04:31:55,3069650.0,35827.0,1.1671363184727899
Indiana,2022-04-02 04:31:55,1691470.0,23431.0,1.439694466942955
Iowa,2022-04-02 04:31:55,758463.0,9445.0,1.2452815760294174
Kansas,2022-04-02 04:31:55,770957.0,8395.0,1.0889063851810152
Kentucky,2022-04-02 04:31:55,1315185.0,14965.0,1.137862734140064
Louisiana,2022-04-02 04:31:55,1168537.0,17138.0,1.466620226830644
Maine,2022-04-02 04:31:55,236046.0,2202.0,0.9328690170559976
Maryland,2022-04-02 04:31:55,1012357.0,14347.0,1.4171878102290003
Massachusetts,2022-04-02 04:31:55,1700361.0,20115.0,1.1829840839680514
