Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
OK,04-07-2022,5818315,5685211,5348234,1568468,56.7
PA,04-07-2022,22446301,21743829,20463480,6271674,67.8
WI,04-07-2022,10026729,9716237,9136360,2862329,65.2
CO,04-07-2022,10504096,10138871,9462005,2269675,69.9
NE,04-07-2022,3148207,3038666,2833706,835232,63.2
DC,04-07-2022,1469980,1430367,1368837,259730,73.2
IH2,04-07-2022,2204895,2123428,1942884,388405,41.5
AK,04-07-2022,1124251,1083661,1007207,218367,61.8
CT,04-07-2022,7441776,7183518,6672890,1807528,78.6
RI,04-07-2022,2172477,2102443,1969487,537913,81.8
IN,04-07-2022,9369479,9125929,8590104,2652723,54.6
PR,04-07-2022,7050520,6734082,6184202,1683324,82.6
ID,04-07-2022,2408284,2345721,2204968,697555,53.7
AL,04-07-2022,6189250,6080986,5776240,1857333,50.8
IA,04-07-2022,5005526,4858036,4572452,1477751,61.6
VT,04-07-2022,1367993,1312653,1226399,380948,80.7
UT,04-07-2022,5157278,4926379,4479048,974199,64.0
MD,04-07-2022,11798520,11332794,10482193,2586449,75.1
KS,04-07-2022,4518084,4372079,4073812,1216860,60.9
PW,04-07-2022,47139,44733,41167,4941,84.1
VI,04-07-2022,141974,139547,132657,39873,53.2
FL,04-07-2022,36773478,36035601,34146605,11875644,66.6
KY,04-07-2022,6424014,6260975,5910589,1775179,57.1
CA,04-07-2022,73084268,70379825,65122017,15006697,71.2
MP,04-07-2022,108169,99675,87743,8568,83.3
MI,04-07-2022,15559087,15109324,14259477,4400920,59.8
MN,04-07-2022,10073290,9653059,8995848,2540787,68.8
NM,04-07-2022,3845904,3712625,3447774,988238,70.5
US,04-07-2022,563999093,545773264,509908492,139711490,65.7
OR,04-07-2022,7585681,7335051,6875558,1957088,69.3
LA,04-07-2022,6166697,6047831,5721980,1734684,53.3
NV,04-07-2022,4814417,4698302,4404856,1173350,60.4
NC,04-07-2022,16414398,15911587,14930913,4330800,60.2
ND,04-07-2022,1068443,1033508,981248,292023,54.7
GA,04-07-2022,14646656,14276284,13385297,3480401,54.3
IL,04-07-2022,22201667,21309348,19797500,5142037,68.4
VA,04-07-2022,16165692,15526355,14412153,3637474,72.7
SD,04-07-2022,1382381,1335685,1250956,393494,60.7
AS,04-07-2022,105490,93602,78163,8050,86.0
MO,04-07-2022,8793985,8556092,8068713,2506482,55.7
AZ,04-07-2022,11840016,11452661,10657390,3328452,61.1
AR,04-07-2022,4157758,4048307,3791697,1172476,54.1
TN,04-07-2022,9770847,9573238,9102902,2836290,54.2
SC,04-07-2022,7386236,7214415,6826934,2256534,56.6
MT,04-07-2022,1559094,1517598,1437035,498143,56.5
NH,04-07-2022,2491013,2421077,2269956,667539,69.6
WY,04-07-2022,743110,726536,688128,225246,51.2
US,04-06-2022,563391773,545189363,509344355,139384705,65.7
AR,04-06-2022,4153612,4044232,3787706,1169749,54.0
PA,04-06-2022,22431687,21729882,20450331,6265213,67.8
NY,04-06-2022,38501405,37269464,34948686,8478590,76.3
CA,04-06-2022,73000202,70299048,65043900,14964769,71.2
OH,04-06-2022,17486786,16999511,16062139,5060253,58.1
SD,04-06-2022,1380000,1333875,1249358,392778,60.7
NV,04-06-2022,4811104,4695089,4401721,1171391,60.4
MP,04-06-2022,107913,99432,87568,8541,83.3
GU,04-06-2022,344235,328416,295056,45492,82.2
WV,04-06-2022,2672831,2624379,2498428,866155,57.3
DD2,04-06-2022,7351020,7236109,6853051,582489,0.0
MH,04-06-2022,60962,57388,51977,3157,33.0
AL,04-06-2022,6182143,6074048,5769535,1853482,50.7
VT,04-06-2022,1366296,1310993,1224791,379933,80.7
WI,04-06-2022,10016320,9706038,9126361,2855675,65.2
DE,04-06-2022,1765514,1714491,1605456,518608,68.5
